Partlist

Exported from Pulsoxy.sch at 01.03.2019 15:23

EAGLE Version 9.3.1 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part     Value           Device                 Package                    Library                                        Sheet

ATTINY   ATTINY85        ATTINY85               DIL08                      ATTINY85                                       1
C1       2,2pF           C-EU025-024X044        C025-024X044               rcl                                            1
C2       150pF           C-EU025-024X044        C025-024X044               rcl                                            1
C3       2,2pF           C-EU025-024X044        C025-024X044               rcl                                            1
C4       22nF            C-EU025-024X044        C025-024X044               rcl                                            1
C5       22nF            C-EU025-024X044        C025-024X044               rcl                                            1
C6       4,7µF           CPOL-EUE2-5            E2-5                       rcl                                            1
C7       4,7µF           CPOL-EUE2-5            E2-5                       rcl                                            1
C8       47nF            C-EU025-024X044        C025-024X044               rcl                                            1
C9       47nF            C-EU025-024X044        C025-024X044               rcl                                            1
C10      100nF           C-EU025-024X044        C025-024X044               rcl                                            1
C11      100nF           C-EU025-024X044        C025-024X044               rcl                                            1
C12      1µF             C-EU150-064X183        C150-064X183               rcl                                            1
C13      1µF             C-EU150-064X183        C150-064X183               rcl                                            1
C14      100nF           C-EU025-024X044        C025-024X044               rcl                                            1
C15      100nF           C-EU025-024X044        C025-024X044               rcl                                            1
C16      22pF            C-EU025-024X044        C025-024X044               rcl                                            1
C17      22pF            C-EU025-024X044        C025-024X044               rcl                                            1
C18      100nF           C-EU025-024X044        C025-024X044               rcl                                            1
C20      47µF            CPOL-EUE2,5-6E         E2,5-6E                    rcl                                            1
C21      47µF            CPOL-EUE2,5-6E         E2,5-6E                    rcl                                            1
C22      47µF            CPOL-EUE2,5-6E         E2,5-6E                    rcl                                            1
C23      10nF            C-EU025-024X044        C025-024X044               rcl                                            1
C24      10nF            C-EU025-024X044        C025-024X044               rcl                                            1
C25      470pF           C-EU025-024X044        C025-024X044               rcl                                            1
C26      47µF            CPOL-EUE2,5-6E         E2,5-6E                    rcl                                            1
C27      470pF           C-EU025-024X044        C025-024X044               rcl                                            1
D1       1N5819          SCHOTTKY-DIODEF126Z12  F126Z12                    diode                                          1
D2       1N5819          SCHOTTKY-DIODEF126Z12  F126Z12                    diode                                          1
D3       1N5819          SCHOTTKY-DIODEF126Z12  F126Z12                    diode                                          1
D4       1N5819          SCHOTTKY-DIODEF126Z12  F126Z12                    diode                                          1
D5       1N4004          1N4004                 DO41-10                    diode                                          1
IC1      OWN_CD4052B_MUX OWN_CD4052B_MUX        DIL16                      OWN_CD4052B_MUX                                1
IC2      ATMEGA328-P     ATMEGA168-20P          DIL28-3                    adafruit                                       1
JP1      ICSP            PINHD-2X3              2X03                       pinhead                                        1
Q1       16MHz           CRYSTALHC49U70         HC49U70                    adafruit                                       1
R1       10k             R-EU_0204/7            0204/7                     rcl                                            1
R2       10k             R-EU_0204/7            0204/7                     rcl                                            1
R3       100             R-EU_0204/7            0204/7                     rcl                                            1
R4       68              R-EU_0204/7            0204/7                     rcl                                            1
R5       4,7k            R-EU_0204/7            0204/7                     rcl                                            1
